Time,SSC_50cm(kg/m3),depth
2014/9/26 2:00,0.1,3.07
2014/9/26 2:02,0.1,3.05
2014/9/26 2:04,0.1,3.03
2014/9/26 2:06,0.1,3.01
2014/9/26 2:08,0.1,2.99
2014/9/26 2:10,0.09,2.97
2014/9/26 2:12,0.1,2.95
2014/9/26 2:14,0.09,2.93
2014/9/26 2:16,0.09,2.91
2014/9/26 2:18,0.09,2.9
2014/9/26 2:20,0.09,2.88
2014/9/26 2:22,0.09,2.86
2014/9/26 2:24,0.08,2.83
2014/9/26 2:26,0.08,2.81
2014/9/26 2:28,0.08,2.78
2014/9/26 2:30,0.08,2.76
2014/9/26 2:32,0.08,2.73
2014/9/26 2:34,0.08,2.7
2014/9/26 2:36,0.08,2.67
2014/9/26 2:38,0.08,2.65
2014/9/26 2:40,0.08,2.63
2014/9/26 2:42,0.08,2.61
2014/9/26 2:44,0.08,2.57
2014/9/26 2:46,0.08,2.54
2014/9/26 2:48,0.08,2.54
2014/9/26 2:50,0.08,2.51
2014/9/26 2:52,0.09,2.48
2014/9/26 2:54,0.08,2.44
2014/9/26 2:56,0.08,2.41
2014/9/26 2:58,0.09,2.4
2014/9/26 3:00,0.08,2.38
2014/9/26 3:02,0.09,2.35
2014/9/26 3:04,0.08,2.33
2014/9/26 3:06,0.08,2.3
2014/9/26 3:08,0.09,2.28
2014/9/26 3:10,0.08,2.26
2014/9/26 3:12,0.08,2.23
2014/9/26 3:14,0.08,2.22
2014/9/26 3:16,0.08,2.2
2014/9/26 3:18,0.08,2.17
2014/9/26 3:20,0.08,2.16
2014/9/26 3:22,0.08,2.14
2014/9/26 3:24,0.08,2.12
2014/9/26 3:26,0.08,2.09
2014/9/26 3:28,0.09,2.07
2014/9/26 3:30,0.09,2.06
2014/9/26 3:32,0.08,2.04
2014/9/26 3:34,0.08,2.02
2014/9/26 3:36,0.09,2
2014/9/26 3:38,0.09,1.98
2014/9/26 3:40,0.09,1.95
2014/9/26 3:42,0.09,1.94
2014/9/26 3:44,0.08,1.92
2014/9/26 3:46,0.09,1.9
2014/9/26 3:48,0.09,1.87
2014/9/26 3:50,0.09,1.85
2014/9/26 3:52,0.09,1.84
2014/9/26 3:54,0.09,1.82
2014/9/26 3:56,0.09,1.79
2014/9/26 3:58,0.09,1.77
2014/9/26 4:00,0.09,1.76
2014/9/26 4:02,0.08,1.74
2014/9/26 4:04,0.08,1.72
2014/9/26 4:06,0.08,1.7
2014/9/26 4:08,0.08,1.68
2014/9/26 4:10,0.08,1.67
2014/9/26 4:12,0.09,1.64
2014/9/26 4:14,0.09,1.62
2014/9/26 4:16,0.09,1.61
2014/9/26 4:18,0.09,1.59
2014/9/26 4:20,0.09,1.57
2014/9/26 4:22,0.09,1.56
2014/9/26 4:24,0.09,1.53
2014/9/26 4:26,0.09,1.52
2014/9/26 4:28,0.09,1.5
2014/9/26 4:30,0.09,1.48
2014/9/26 4:32,0.09,1.46
2014/9/26 4:34,0.09,1.44
2014/9/26 4:36,0.1,1.42
2014/9/26 4:38,0.09,1.4
2014/9/26 4:40,0.08,1.38
2014/9/26 4:42,0.08,1.37
2014/9/26 4:44,0.09,1.34
2014/9/26 4:46,0.09,1.32
2014/9/26 4:48,0.09,1.3
2014/9/26 4:50,0.09,1.29
2014/9/26 4:52,0.1,1.26
2014/9/26 4:54,0.1,1.24
2014/9/26 4:56,0.11,1.22
2014/9/26 4:58,0.1,1.2
2014/9/26 5:00,0.11,1.18
2014/9/26 5:02,0.11,1.16
2014/9/26 5:04,0.1,1.14
2014/9/26 5:06,0.09,1.12
2014/9/26 5:08,0.09,1.09
2014/9/26 5:10,0.09,1.08
2014/9/26 5:12,0.09,1.05
2014/9/26 5:14,0.09,1.03
2014/9/26 5:16,0.09,1.01
2014/9/26 5:18,0.1,1
2014/9/26 5:20,0.1,0.97
2014/9/26 5:22,0.09,0.96
2014/9/26 5:24,0.09,0.93
2014/9/26 5:26,0.09,0.92
2014/9/26 5:28,0.1,0.9
2014/9/26 5:30,0.11,0.88
2014/9/26 5:32,0.11,0.87
2014/9/26 5:34,0.1,0.84
2014/9/26 5:36,0.1,0.83
2014/9/26 5:38,0.1,0.81
2014/9/26 5:40,0.1,0.8
2014/9/26 5:42,0.1,0.78
2014/9/26 5:44,0.11,0.76
2014/9/26 5:46,0.1,0.75
2014/9/26 5:48,0.11,0.72
2014/9/26 5:50,0.11,0.71
2014/9/26 5:52,0.1,0.7
2014/9/26 5:54,0.1,0.69
2014/9/26 5:56,0.1,0.68
2014/9/26 5:58,0.1,0.65
2014/9/26 6:00,0.11,0.64
2014/9/26 6:02,0.1,0.63
2014/9/26 6:04,0.1,0.62
2014/9/26 6:06,0.1,0.61
2014/9/26 6:07,NAN,NAN
2014/9/26 10:38,0.29,0.66
2014/9/26 10:40,0.28,0.71
2014/9/26 10:42,0.28,0.76
2014/9/26 10:44,0.27,0.8
2014/9/26 10:46,0.27,0.85
2014/9/26 10:48,0.27,0.91
2014/9/26 10:50,0.27,0.96
2014/9/26 10:52,0.27,1
2014/9/26 10:54,0.23,1.04
2014/9/26 10:56,0.21,1.08
2014/9/26 10:58,0.19,1.11
2014/9/26 11:00,0.19,1.15
2014/9/26 11:02,0.21,1.19
2014/9/26 11:04,0.23,1.22
2014/9/26 11:06,0.25,1.26
2014/9/26 11:08,0.24,1.3
2014/9/26 11:10,0.24,1.33
2014/9/26 11:12,0.23,1.35
2014/9/26 11:14,0.23,1.38
2014/9/26 11:16,0.22,1.42
2014/9/26 11:18,0.21,1.45
2014/9/26 11:20,0.21,1.46
2014/9/26 11:22,0.19,1.49
2014/9/26 11:24,0.2,1.52
2014/9/26 11:26,0.2,1.55
2014/9/26 11:28,0.19,1.58
2014/9/26 11:30,0.19,1.61
2014/9/26 11:32,0.19,1.63
2014/9/26 11:34,0.19,1.66
2014/9/26 11:36,0.19,1.68
2014/9/26 11:38,0.19,1.7
2014/9/26 11:40,0.18,1.74
2014/9/26 11:42,0.18,1.76
2014/9/26 11:44,0.16,1.77
2014/9/26 11:46,0.16,1.8
2014/9/26 11:48,0.16,1.82
2014/9/26 11:50,0.17,1.84
2014/9/26 11:52,0.17,1.87
2014/9/26 11:54,0.18,1.89
